Provinsi,Kabupaten,Kecamatan,Bulan,Luas_Tanam,Luas_Panen,Bulan_Angka,Fase_Vegetatif_Est,Fase_Generatif_Est,Fase_Siap_Panen_Est
Jawa Tengah,Banjarnegara,Banjarmangu,April,72.78,111.73,4,109.12,69.24,119.43
Jawa Tengah,Banjarnegara,Banjarmangu,Mei,65.24,114.95,5,72.78,109.12,69.24
Jawa Tengah,Banjarnegara,Banjarmangu,Juni,73.07,95.15,6,65.24,72.78,109.12
Jawa Tengah,Banjarnegara,Banjarmangu,Juli,111.79,96.84,7,73.07,65.24,72.78
Jawa Tengah,Banjarnegara,Banjarmangu,Agustus,113.55,51.73,8,111.79,73.07,65.24
Jawa Tengah,Banjarnegara,Banjarmangu,September,86.06,73.7,9,113.55,111.79,73.07
Jawa Tengah,Banjarnegara,Banjarmangu,Oktober,57.65,83.72,10,86.06,113.55,111.79
Jawa Tengah,Banjarnegara,Banjarmangu,November,97.08,114.96,11,57.65,86.06,113.55
Jawa Tengah,Banjarnegara,Banjarmangu,Desember,77.91,75.73,12,97.08,57.65,86.06
Jawa Tengah,Banjarnegara,Banjarnegara,April,15.41,84.44,4,42.17,67.64,119.96
Jawa Tengah,Banjarnegara,Banjarnegara,Mei,32.38,129.29,5,15.41,42.17,67.64
Jawa Tengah,Banjarnegara,Banjarnegara,Juni,61.96,66.97,6,32.38,15.41,42.17
Jawa Tengah,Banjarnegara,Banjarnegara,Juli,84.12,21.32,7,61.96,32.38,15.41
Jawa Tengah,Banjarnegara,Banjarnegara,Agustus,61.93,13.21,8,84.12,61.96,32.38
Jawa Tengah,Banjarnegara,Banjarnegara,September,50.48,32.01,9,61.93,84.12,61.96
Jawa Tengah,Banjarnegara,Banjarnegara,Oktober,12.31,75.78,10,50.48,61.93,84.12
Jawa Tengah,Banjarnegara,Banjarnegara,November,47.85,90.48,11,12.31,50.48,61.93
Jawa Tengah,Banjarnegara,Banjarnegara,Desember,29.64,46.88,12,47.85,12.31,50.48
Jawa Tengah,Banjarnegara,Batur,April,0.0,0.0,4,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,Mei,0.0,0.0,5,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,Juni,0.0,0.0,6,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,Juli,0.0,0.0,7,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,Agustus,0.0,0.0,8,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,September,0.0,0.0,9,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,Oktober,0.0,0.0,10,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,November,0.0,0.0,11,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Batur,Desember,0.0,0.0,12,0.0,0.0,0.0
Jawa Tengah,Banjarnegara,Bawang,April,46.51,260.41,4,72.05,215.57,449.01
Jawa Tengah,Banjarnegara,Bawang,Mei,180.0,432.51,5,46.51,72.05,215.57
Jawa Tengah,Banjarnegara,Bawang,Juni,263.68,168.39,6,180.0,46.51,72.05
Jawa Tengah,Banjarnegara,Bawang,Juli,191.28,52.06,7,263.68,180.0,46.51
Jawa Tengah,Banjarnegara,Bawang,Agustus,138.52,45.85,8,191.28,263.68,180.0
Jawa Tengah,Banjarnegara,Bawang,September,103.75,188.61,9,138.52,191.28,263.68
Jawa Tengah,Banjarnegara,Bawang,Oktober,25.52,292.27,10,103.75,138.52,191.28
Jawa Tengah,Banjarnegara,Bawang,November,119.49,227.65,11,25.52,103.75,138.52
Jawa Tengah,Banjarnegara,Bawang,Desember,149.95,81.17,12,119.49,25.52,103.75
Jawa Tengah,Banjarnegara,Kalibening,April,9.24,14.83,4,209.45,439.31,143.54
Jawa Tengah,Banjarnegara,Kalibening,Mei,3.48,148.52,5,9.24,209.45,439.31
Jawa Tengah,Banjarnegara,Kalibening,Juni,9.53,486.16,6,3.48,9.24,209.45
Jawa Tengah,Banjarnegara,Kalibening,Juli,83.88,153.36,7,9.53,3.48,9.24
Jawa Tengah,Banjarnegara,Kalibening,Agustus,488.98,3.23,8,83.88,9.53,3.48
Jawa Tengah,Banjarnegara,Kalibening,September,133.29,4.04,9,488.98,83.88,9.53
Jawa Tengah,Banjarnegara,Kalibening,Oktober,14.66,25.42,10,133.29,488.98,83.88
Jawa Tengah,Banjarnegara,Kalibening,November,13.92,102.46,11,14.66,133.29,488.98
Jawa Tengah,Banjarnegara,Kalibening,Desember,12.51,435.12,12,13.92,14.66,133.29
Jawa Tengah,Banjarnegara,Karangkobar,April,5.44,38.75,4,34.28,50.74,80.44
Jawa Tengah,Banjarnegara,Karangkobar,Mei,11.64,76.75,5,5.44,34.28,50.74
Jawa Tengah,Banjarnegara,Karangkobar,Juni,29.45,55.38,6,11.64,5.44,34.28
Jawa Tengah,Banjarnegara,Karangkobar,Juli,51.0,14.7,7,29.45,11.64,5.44
Jawa Tengah,Banjarnegara,Karangkobar,Agustus,55.54,4.54,8,51.0,29.45,11.64
Jawa Tengah,Banjarnegara,Karangkobar,September,23.61,17.72,9,55.54,51.0,29.45
Jawa Tengah,Banjarnegara,Karangkobar,Oktober,7.67,39.78,10,23.61,55.54,51.0
Jawa Tengah,Banjarnegara,Karangkobar,November,26.03,53.49,11,7.67,23.61,55.54
Jawa Tengah,Banjarnegara,Karangkobar,Desember,24.15,37.17,12,26.03,7.67,23.61
Jawa Tengah,Banjarnegara,Madukara,April,35.17,74.54,4,52.17,52.6,107.7
